fda drug,chemical name,indications,url
aricept,Donepezil,"Alzheimer disease,Dementia associated with Parkinson disease,Lewy body dementia,Traumatic brain injury,Vascular dementia",https://www.uptodate.com/contents/donepezil-drug-information?search=aricept&source=search_result&selectedTitle=1%7E44&usage_type=default&display_rank=1
aricept odt,Donepezil,"Alzheimer disease,Dementia associated with Parkinson disease,Lewy body dementia,Traumatic brain injury,Vascular dementia",https://www.uptodate.com/contents/donepezil-drug-information?search=aricept+odt&source=search_result&selectedTitle=1%7E44&usage_type=default&display_rank=1
arixtra,Fondaparinux,"Acute DVT/PE treatment,Acute coronary syndrome,Acute symptomatic superficial vein thrombosis,Acute thrombosis,Heparin induced thrombocytopenia treatment,VTE prophylaxis,VTE prophylaxis in hospitalized cancer patients,VTE prophylaxis in patients undergoing major surgery for cancer,VTE prophylaxis with history of HIT,Transitioning between anticoagulants,Acute deep vein thrombosis,Acute pulmonary embolism,Venous thromboembolism",https://www.uptodate.com/contents/fondaparinux-drug-information?search=arixtra&source=search_result&selectedTitle=1%7E69&usage_type=default&display_rank=1
aromasin,Exemestane,"Breast cancer, advanced,Breast cancer, early,Breast cancer, risk reduction,Dosage adjustment with strong CYP3A4 inducers,Breast cancer",https://www.uptodate.com/contents/exemestane-drug-information?search=aromasin&source=search_result&selectedTitle=1%7E24&usage_type=default&display_rank=1
arthrotec,Diclofenac and misoprostol,"Osteoarthritis,Rheumatoid arthritis",https://www.uptodate.com/contents/diclofenac-and-misoprostol-drug-information?search=arthrotec&source=search_result&selectedTitle=1%7E3&usage_type=default&display_rank=1
astelin,Azelastine and fluticasone,Seasonal allergic rhinitis,https://www.uptodate.com/contents/azelastine-and-fluticasone-drug-information?search=astelin&source=search_result&selectedTitle=5%7E18&usage_type=default&display_rank=8
atacand,Candesartan,"Hypertension,Heart failure",https://www.uptodate.com/contents/candesartan-drug-information?search=atacand&source=search_result&selectedTitle=1%7E43&usage_type=default&display_rank=1
ativan,Lorazepam,"Anxiety disorder,Insomnia due to anxiety or stress,Premedication for anesthesia,Status epilepticus,Agitation in the ICU patient,Alcohol withdrawal delirium,Alcohol withdrawal syndrome,Chemotherapy-associated nausea and vomiting,Psychogenic catatonia,Rapid tranquilization of the agitated patient,Dosage adjustment for lorazepam with concomitant medications,Anxiety,Anesthesia premedication",https://www.uptodate.com/contents/lorazepam-drug-information?search=ativan&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
atralin,Topical tretinoin,"Acne vulgaris,Palliation of fine wrinkles,Palliation of fine wrinkles, mottled hyperpigmentation, and facial skin roughness",https://www.uptodate.com/contents/topical-tretinoin-topical-all-trans-retinoic-acid-drug-information?search=atralin&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
augmentin,Amoxicillin and clavulanate,"Susceptible infections,Bite wounds,Chronic obstructive pulmonary disease,Impetigo,Febrile neutropenia, empiric therapy in low-risk cancer patients,Group A streptococci chronic carrier, treatment,Pneumonia, community-acquired,Melioidosis, treatment,Prosthetic joint infection, chronic antimicrobial suppression, oxacillin-susceptible,Respiratory tract infections, lower,Sinusitis, acute bacterial,Urinary tract infection,Otitis media, acute,Skin and skin structure infections,Urinary tract infections",https://www.uptodate.com/contents/amoxicillin-and-clavulanate-drug-information?search=augmentin&source=search_result&selectedTitle=1%7E142&usage_type=default&display_rank=1
augmentin es-600,Amoxicillin and clavulanate,"Susceptible infections,Bite wounds,Chronic obstructive pulmonary disease,Impetigo,Febrile neutropenia, empiric therapy in low-risk cancer patients,Group A streptococci chronic carrier, treatment,Pneumonia, community-acquired,Melioidosis, treatment,Prosthetic joint infection, chronic antimicrobial suppression, oxacillin-susceptible,Respiratory tract infections, lower,Sinusitis, acute bacterial,Urinary tract infection,Otitis media, acute,Skin and skin structure infections,Urinary tract infections",https://www.uptodate.com/contents/amoxicillin-and-clavulanate-drug-information?search=augmentin+es-600&source=search_result&selectedTitle=1%7E142&usage_type=default&display_rank=1
avalide,Irbesartan and hydrochlorothiazide,Hypertension,https://www.uptodate.com/contents/irbesartan-and-hydrochlorothiazide-drug-information?search=avalide&source=search_result&selectedTitle=1%7E2&usage_type=default&display_rank=1
avapro,Irbesartan,"Hypertension,Diabetic nephropathy",https://www.uptodate.com/contents/irbesartan-drug-information?search=avapro&source=search_result&selectedTitle=1%7E25&usage_type=default&display_rank=1
avelox,Moxifloxacin,"Acute bacterial rhinosinusitis,Anthrax,Bacterial meningitis,Bite wounds,Chronic bronchitis, acute bacterial exacerbation,Community-acquired pneumonia,Diabetic foot infection,Intra-abdominal infections, complicated,Mycoplasma genitalium,Nocardiosis,Pelvic inflammatory disease,Plague,Skin and skin structure infections,Surgical,Tuberculosis, drug-resistant tuberculosis, or intolerance to first-line agents",https://www.uptodate.com/contents/moxifloxacin-systemic-drug-information?search=avelox&source=search_result&selectedTitle=1%7E93&usage_type=default&display_rank=1
avita,Topical tretinoin,"Acne vulgaris,Palliation of fine wrinkles,Palliation of fine wrinkles, mottled hyperpigmentation, and facial skin roughness",https://www.uptodate.com/contents/topical-tretinoin-topical-all-trans-retinoic-acid-drug-information?search=avita&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
axert,Almotriptan,"Dosage adjustment with concomitant use of an enzyme inhibitor,Migraine",https://www.uptodate.com/contents/almotriptan-drug-information?search=axert&source=search_result&selectedTitle=1%7E17&usage_type=default&display_rank=1
azilect,Rasagiline,Dose reduction with concomitant ciprofloxacin or other CYP1A2 inhibitors,https://www.uptodate.com/contents/rasagiline-drug-information?search=azilect&source=search_result&selectedTitle=1%7E149&usage_type=default&display_rank=1
azor,Amlodipine and olmesartan,Hypertension,https://www.uptodate.com/contents/amlodipine-and-olmesartan-drug-information?search=azor&source=search_result&selectedTitle=1%7E5&usage_type=default&display_rank=1
azulfidine,Sulfasalazine,"Rheumatoid arthritis,Ulcerative colitis,Ankylosing spondylitis,Crohn disease, active mild/moderate, ileocolonic or colonic disease,Psoriasis,Psoriatic arthritis,Juvenile rheumatoid arthritis",https://www.uptodate.com/contents/sulfasalazine-drug-information?search=azulfidine&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
azulfidine en- tabs,Sulfasalazine,"Rheumatoid arthritis,Ulcerative colitis,Ankylosing spondylitis,Crohn disease, active mild/moderate, ileocolonic or colonic disease,Psoriasis,Psoriatic arthritis,Juvenile rheumatoid arthritis",https://www.uptodate.com/contents/sulfasalazine-drug-information?search=azulfidine+en-+tabs&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
benicar,Olmesartan,Hypertension,https://www.uptodate.com/contents/olmesartan-drug-information?search=benicar&source=search_result&selectedTitle=1%7E17&usage_type=default&display_rank=1
benicar hct,Olmesartan and hydrochlorothiazide,Hypertension,https://www.uptodate.com/contents/olmesartan-and-hydrochlorothiazide-drug-information?search=benicar+hct&source=search_result&selectedTitle=1%7E3&usage_type=default&display_rank=1
benzaclin,Clindamycin and benzoyl peroxide,"Acne,Inflammatory acne,Rosacea",https://www.uptodate.com/contents/clindamycin-and-benzoyl-peroxide-drug-information?search=benzaclin&source=search_result&selectedTitle=1%7E12&usage_type=default&display_rank=1
betagan,Levobunolol,Elevated intraocular pressure,https://www.uptodate.com/contents/levobunolol-drug-information?search=betagan&source=search_result&selectedTitle=1%7E2&usage_type=default&display_rank=1
betoptic,Betaxolol,"Atrial fibrillation,Chronic stable angina,Hypertension,Postoperative atrial fibrillation associated with cardiac surgery",https://www.uptodate.com/contents/betaxolol-systemic-drug-information?search=betoptic&source=search_result&selectedTitle=1%7E7&usage_type=default&display_rank=1
biaxin,Clarithromycin,"Usual dosage range,Bronchitis, acute bacterial exacerbation,Bartonellosis in HIV-infected patients,,Lyme disease,Mycobacterial infection, disseminated,Pertussis,Pharyngitis, tonsillitis,Pneumonia, community-acquired,Prophylaxis against infective endocarditis,Sinusitis,Skin and skin structure infection, uncomplicated,Dosage adjustment for concomitant therapy,Mycobacterial infections, disseminated,Otitis media,Pharyngitis/tonsillitis,Skin/skin structure infections",https://www.uptodate.com/contents/clarithromycin-drug-information?search=biaxin&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
blocadren,Timolol,"Hypertension,Migraine prophylaxis,Myocardial infarction,Atrial fibrillation,Angina,MI",https://www.uptodate.com/contents/timolol-systemic-drug-information?search=blocadren&source=search_result&selectedTitle=1%7E1&usage_type=default&display_rank=1
brevibloc,Esmolol,"Intraoperative and postoperative tachycardia and/or hypertension,Hypertensive emergencies,Supraventricular tachycardia and atrial fibrillation/flutter,Acute coronary syndromes,Electroconvulsive therapy,Intubation,Thyrotoxicosis or thyroid storm,Ventricular tachycardia,Guidelines for transfer to oral therapy,Sinus tachycardia",https://www.uptodate.com/contents/esmolol-drug-information?search=brevibloc&source=search_result&selectedTitle=1%7E82&usage_type=default&display_rank=1
bumex,Bumetanide,"Edema, heart failure,Hypertension",https://www.uptodate.com/contents/bumetanide-drug-information?search=bumex&source=search_result&selectedTitle=1%7E28&usage_type=default&display_rank=1
butrans,Buprenorphine,"Acute pain,Chronic pain,Opioid withdrawal in heroin-dependent hospitalized patients,Opioid dependence,Perineural anesthesia,Pain management",https://www.uptodate.com/contents/buprenorphine-drug-information?search=butrans&source=search_result&selectedTitle=1%7E143&usage_type=default&display_rank=1
caduet,Amlodipine and atorvastatin,"Hypertension, dyslipidemia, angina, documented CAD,Dosage adjustment for atorvastatin with concomitant medications",https://www.uptodate.com/contents/amlodipine-and-atorvastatin-drug-information?search=caduet&source=search_result&selectedTitle=1%7E4&usage_type=default&display_rank=1
carac,Fluorouracil,"Breast cancer,Colorectal cancer,Gastric cancer,Pancreatic cancer,Anal carcinoma,Bladder cancer,Cervical cancer,Esophageal cancer,Glaucoma surgery, adjunctive therapy,Head and neck cancer, squamous cell,Hepatobiliary cancer,Neuroendocrine tumors, pancreatic,Penile cancer, advanced, squamous cell,Unknown primary cancer, squamous cell,Vulvar cancer, advanced,Colon and rectal cancer",https://www.uptodate.com/contents/fluorouracil-systemic-drug-information?search=carac&source=search_result&selectedTitle=1%7E146&usage_type=default&display_rank=1
carafate,Sucralfate,Duodenal ulcer,https://www.uptodate.com/contents/sucralfate-drug-information?search=carafate&source=search_result&selectedTitle=1%7E87&usage_type=default&display_rank=1
carbatrol,Carbamazepine,"Epilepsy,Trigeminal or glossopharyngeal neuralgia,Bipolar disorder,Neuropathic pain, critically ill patients,Neuropsychiatric symptoms of dementia,Restless legs syndrome,Bipolar 1 disorder",https://www.uptodate.com/contents/carbamazepine-drug-information?search=carbatrol&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
cardiolite,Technetium Tc-99m sestamibi,"Breast imaging,Myocardial imaging,Imaging agent",https://www.uptodate.com/contents/technetium-tc-99m-sestamibi-drug-information?search=cardiolite&source=search_result&selectedTitle=2%7E3&usage_type=default&display_rank=2
cardizem,Diltiazem,"Angina,Hypertension,Idiopathic ventricular tachycardia,Atrial fibrillation, atrial flutter, PSVT,Atrial fibrillation,Supraventricular tachycardia,Conversion from IV diltiazem to oral diltiazem",https://www.uptodate.com/contents/diltiazem-drug-information?search=cardizem&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
cardizem cd,Diltiazem,"Angina,Hypertension,Idiopathic ventricular tachycardia,Atrial fibrillation, atrial flutter, PSVT,Atrial fibrillation,Supraventricular tachycardia,Conversion from IV diltiazem to oral diltiazem",https://www.uptodate.com/contents/diltiazem-drug-information?search=cardizem+cd&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
cardizem la,Diltiazem,"Angina,Hypertension,Idiopathic ventricular tachycardia,Atrial fibrillation, atrial flutter, PSVT,Atrial fibrillation,Supraventricular tachycardia,Conversion from IV diltiazem to oral diltiazem",https://www.uptodate.com/contents/diltiazem-drug-information?search=cardizem+la&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
carnitor,Carnitine supplements,"Carnitine deficiency,Carnitine deficiency in patients with ESRD requiring dialysis,Valproic acid toxicity, acute,Carnitine deficiency in patients with end-stage renal disease requiring hemodialysis,Dietary supplement,Primary systemic carnitine deficiency,Secondary carnitine deficiency",https://www.uptodate.com/contents/carnitine-supplements-levocarnitine-drug-information?search=carnitor&source=search_result&selectedTitle=1%7E32&usage_type=default&display_rank=1
cedax,Ceftibuten,"Acute bacterial exacerbations of chronic bronchitis,Acute bacterial otitis media,Pharyngitis/tonsillitis",https://www.uptodate.com/contents/ceftibuten-drug-information?search=cedax&source=search_result&selectedTitle=1%7E7&usage_type=default&display_rank=1
celebrex,Celecoxib,"Acute pain or primary dysmenorrhea,Ankylosing spondylitis,Osteoarthritis,Rheumatoid arthritis,Dosing adjustment in poor CYP2C9 metabolizers,Acute pain,Juvenile idiopathic arthritis,Primary dysmenorrhea",https://www.uptodate.com/contents/celecoxib-drug-information?search=celebrex&source=search_result&selectedTitle=1%7E111&usage_type=default&display_rank=1
children's motrin,Ibuprofen,"Analgesia,Antipyretic,Dysmenorrhea,Osteoarthritis,Rheumatoid arthritis,OTC labeling,Pericarditis",https://www.uptodate.com/contents/ibuprofen-drug-information?search=children%27s+motrin&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
ciloxan,Ciprofloxacin,"Anthrax,Bite wound infection, prophylaxis or treatment,Cat scratch disease, lymphadenitis,Chancroid,Cholera,Diabetic foot infections,Endocarditis due to HACEK organisms,Granuloma inguinale,Hematopoietic cell transplant,Intra-abdominal infections,Meningitis, bacterial,Meningococcal meningitis prophylaxis,Neutropenia,Neutropenic fever, low-risk cancer patients,Osteomyelitis,Peritoneal dialysis catheter, exit-site or tunnel infection,Peritonitis, spontaneous bacterial,Plague,Pneumonia, community-acquired, as a component of empiric therapy for,Pneumonia, hospital-acquired,Prostatitis,Prosthetic joint infection,,Septic arthritis,Surgical,Surgical site infection,Traveler's diarrhea, uncomplicated,Tularemia,Urinary tract infection",https://www.uptodate.com/contents/ciprofloxacin-systemic-drug-information?search=ciloxan&source=search_result&selectedTitle=1%7E142&usage_type=default&display_rank=1
cipro,Ciprofloxacin,"Anthrax,Bite wound infection, prophylaxis or treatment,Cat scratch disease, lymphadenitis,Chancroid,Cholera,Diabetic foot infections,Endocarditis due to HACEK organisms,Granuloma inguinale,Hematopoietic cell transplant,Intra-abdominal infections,Meningitis, bacterial,Meningococcal meningitis prophylaxis,Neutropenia,Neutropenic fever, low-risk cancer patients,Osteomyelitis,Peritoneal dialysis catheter, exit-site or tunnel infection,Peritonitis, spontaneous bacterial,Plague,Pneumonia, community-acquired, as a component of empiric therapy for,Pneumonia, hospital-acquired,Prostatitis,Prosthetic joint infection,,Septic arthritis,Surgical,Surgical site infection,Traveler's diarrhea, uncomplicated,Tularemia,Urinary tract infection",https://www.uptodate.com/contents/ciprofloxacin-systemic-drug-information?search=cipro&source=search_result&selectedTitle=1%7E142&usage_type=default&display_rank=1
cleocin,Clindamycin,"Usual dose,Anthrax,Babesiosis,Bacterial vaginosis,Bite wounds,Diabetic foot infection, mild to moderate,Group B streptococci,Impetigo,Malaria, severe,Malaria, uncomplicated treatment,Osteomyelitis due to MRSA,Osteomyelitis, native vertebral,Pelvic inflammatory disease,Pharyngitis, group A streptococci,,Pneumonia due to MRSA,Prophylaxis against infective endocarditis,Prophylaxis in total joint replacement in patients undergoing dental procedures which produce bacteremia,Prosthetic joint infection,Septic arthritis due to MRSA,Skin and soft tissue infections due to MSSA,Skin and soft tissue infections due to MRSA,Skin and soft tissue necrotizing infections,Streptococcal skin infections,Surgical,Toxic shock syndrome,Bone and joint infections,Gynecological infections,Intra-abdominal infections,Lower respiratory tract infections,Septicemia,Skin and skin structure infections",https://www.uptodate.com/contents/clindamycin-systemic-drug-information?search=cleocin&source=search_result&selectedTitle=1%7E145&usage_type=default&display_rank=1
cleocin hcl,Clindamycin,"Usual dose,Anthrax,Babesiosis,Bacterial vaginosis,Bite wounds,Diabetic foot infection, mild to moderate,Group B streptococci,Impetigo,Malaria, severe,Malaria, uncomplicated treatment,Osteomyelitis due to MRSA,Osteomyelitis, native vertebral,Pelvic inflammatory disease,Pharyngitis, group A streptococci,,Pneumonia due to MRSA,Prophylaxis against infective endocarditis,Prophylaxis in total joint replacement in patients undergoing dental procedures which produce bacteremia,Prosthetic joint infection,Septic arthritis due to MRSA,Skin and soft tissue infections due to MSSA,Skin and soft tissue infections due to MRSA,Skin and soft tissue necrotizing infections,Streptococcal skin infections,Surgical,Toxic shock syndrome,Bone and joint infections,Gynecological infections,Intra-abdominal infections,Lower respiratory tract infections,Septicemia,Skin and skin structure infections",https://www.uptodate.com/contents/clindamycin-systemic-drug-information?search=cleocin+hcl&source=search_result&selectedTitle=2%7E150&usage_type=default&display_rank=2
cleocin pediatric,Clindamycin,"Usual dose,Anthrax,Babesiosis,Bacterial vaginosis,Bite wounds,Diabetic foot infection, mild to moderate,Group B streptococci,Impetigo,Malaria, severe,Malaria, uncomplicated treatment,Osteomyelitis due to MRSA,Osteomyelitis, native vertebral,Pelvic inflammatory disease,Pharyngitis, group A streptococci,,Pneumonia due to MRSA,Prophylaxis against infective endocarditis,Prophylaxis in total joint replacement in patients undergoing dental procedures which produce bacteremia,Prosthetic joint infection,Septic arthritis due to MRSA,Skin and soft tissue infections due to MSSA,Skin and soft tissue infections due to MRSA,Skin and soft tissue necrotizing infections,Streptococcal skin infections,Surgical,Toxic shock syndrome",https://www.uptodate.com/contents/clindamycin-systemic-pediatric-drug-information?search=cleocin+pediatric&source=search_result&selectedTitle=1%7E145&usage_type=default&display_rank=1
cleocin t,Clindamycin,"Usual dose,Anthrax,Babesiosis,Bacterial vaginosis,Bite wounds,Diabetic foot infection, mild to moderate,Group B streptococci,Impetigo,Malaria, severe,Malaria, uncomplicated treatment,Osteomyelitis due to MRSA,Osteomyelitis, native vertebral,Pelvic inflammatory disease,Pharyngitis, group A streptococci,,Pneumonia due to MRSA,Prophylaxis against infective endocarditis,Prophylaxis in total joint replacement in patients undergoing dental procedures which produce bacteremia,Prosthetic joint infection,Septic arthritis due to MRSA,Skin and soft tissue infections due to MSSA,Skin and soft tissue infections due to MRSA,Skin and soft tissue necrotizing infections,Streptococcal skin infections,Surgical,Toxic shock syndrome,Bone and joint infections,Gynecological infections,Intra-abdominal infections,Lower respiratory tract infections,Septicemia,Skin and skin structure infections",https://www.uptodate.com/contents/clindamycin-systemic-drug-information?search=cleocin+t&source=search_result&selectedTitle=1%7E145&usage_type=default&display_rank=1
clinoril,Sulindac,"Acute gouty arthritis,Ankylosing spondylitis,Bursitis/tendinitis of the shoulder,Osteoarthritis, rheumatoid arthritis,Arthritis",https://www.uptodate.com/contents/sulindac-drug-information?search=clinoril&source=search_result&selectedTitle=1%7E28&usage_type=default&display_rank=1
clobex,Clobetasol,"Oral mucosal inflammation,Steroid-responsive dermatoses,Mild to moderate plaque-type psoriasis of nonscalp areas,Moderate to severe plaque-type psoriasis,Scalp psoriasis, moderate to severe",https://www.uptodate.com/contents/clobetasol-drug-information?search=clobex&source=search_result&selectedTitle=1%7E56&usage_type=default&display_rank=1
cloderm,Clocortolone,Steroid-responsive dermatoses,https://www.uptodate.com/contents/clocortolone-drug-information?search=cloderm&source=search_result&selectedTitle=1%7E7&usage_type=default&display_rank=1
clolar,Clofarabine,",Acute lymphoblastic leukemia,Acute lymphoblastic leukemia, relapsed/refractory,Acute myeloid leukemia,Acute lymphoblastic leukemia, relapsed or refractory",https://www.uptodate.com/contents/clofarabine-drug-information?search=clolar&source=search_result&selectedTitle=1%7E16&usage_type=default&display_rank=1
